37,https://images-na.ssl-images-amazon.com/images/I/41mttozPtPL._AC_US218_.jpg,"GIGABYTE Aero 15X v8-BK4 15"" Ultra Slim Gaming Laptop 144Hz IPS Anti-Glare FHD Display i7-8750H GeForce GTX 1070 16G RAM 512GB PCIE SSD Metal Chassis RGB Keys",,,,15.6 inches | Windows 10 Home | 8032 | 16 GB | flash memory solid state,,,,,,,GIGABYTE,2149,Notebook,Notebooks,,,,,
38,https://images-na.ssl-images-amazon.com/images/I/61Nc8D-uFlL._AC_US218_.jpg,"HP 17.3"" HD+ Notebook (2018 New) Intel Core i3-7100U Processor 2.4 GHz 8GB Memory 2TB Hard Drive Optical Drive HD Webcam Backlit Keyboard Windows 10 Home Pale Mint",,,,17.3 inches | Windows 10 | core Intel Core i3 | 8.0 GB | 2.0 TB,,,,,,,HP,500,Notebook,Notebooks,,,,,
39,https://images-na.ssl-images-amazon.com/images/I/51Jiem+a91L._AC_US218_.jpg,HP Stream Laptop PC 14-ax020nr (Intel Celeron N3060 4 GB RAM 32 GB eMMC) with Office 365 Personal for one Year,,,,14.0 inches | Windows 10 | celeron | 4.0 GB | 32 GB,,,,,,,HP,208.9,Notebook,Notebooks,,,,,
40,https://images-na.ssl-images-amazon.com/images/I/41oR-LDGPbL._AC_US218_.jpg,"Dell Business Laptop PC 15.6"" HD LED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD HDMI DVD-RW Bluetooth Webcam MaxxAudio Windows 10-Black",,,,15.6 inches | Windows 10 | core Intel Core i3 | 8.0 GB | 1.0 TB,,,,,,,Dell,389.98,Notebook,Notebooks,,,,,
41,https://images-na.ssl-images-amazon.com/images/I/410twLw8jUL._AC_US218_.jpg,ASUS Chromebook Flip C213SA-YS02 11.6 inch Ruggedized & Spill Proof Touchscreen Intel Dual-Core Apollo Lake N3350  4GB DDR4 RAM 32GB Flash Storage USB Type-C Supports Android Apps,,,,11.6 inches | Chrome OS | 8032 | 4 GB | 32 GB,,,,,,,Asus,326,Notebook,Notebooks,,,,,
42,https://images-na.ssl-images-amazon.com/images/I/41TTLU7yMNL._AC_US218_.jpg,"Dell G3779-7934BLK-PUS Gaming Laptop 17"" LED Display - 8th Gen Intel Core i7-8750H 8GB Memory 128GB SSD+1TB HDD NVIDIA GeForce GTX 1050 Ti 4GB Black",,,,17.3 inches | Windows 10 | core Intel Core i7 | 8.0 GB | 1000 GB,,,,,,,Dell,943.99,Notebook,Notebooks,,,,,
43,https://images-na.ssl-images-amazon.com/images/I/41kG6Ujbn1L._AC_US218_.jpg,"Acer Aspire R 15 2-in-1 Laptop 15.6"" Full HD Touch 7th Gen Intel Core i7 GeForce 940MX 12GB DDR4 256GB SSD R5-571TG-7229",,,,15.6 inches | Windows 10 | core Intel Core i7 | 12.0 GB | 256.0 GB,,,,,,,Acer,838.18,Notebook,Notebooks,,,,,
44,https://images-na.ssl-images-amazon.com/images/I/51+UXKRYPSL._AC_US218_.jpg,"LG gram Thin & Light Laptop - 15.6"" FHD IPS Touch 8th Gen Core i7 16GB RAM 1TB (2x500GB SSD) 2.5lbs Up to 16.5 hrs Thunderbolt 3 Finger Print Reader Windows 10 Home - 15Z980-R.AAS9U1 (2018)",,,,15.6 inches | Windows 10 | core Intel Core i7 | 16.0 GB | 1000 GB,,,,,,,LG,1846.99,Notebook,Notebooks,,,,,
45,https://images-na.ssl-images-amazon.com/images/I/41aVnHuQ0lL._AC_US218_.jpg,Smartbook A116 High-performance 11.6 inch ultra-thin portable office entertainment notebook only 0.8KG (Intel quad-core processor pre-installed Windows 10 Professional office 2010 (2G+32GB White),,,,11.6 inches | Windows 10 | Atom Z330 | 2.0 GB | 32.0 GB,,,,,,,Smart-US,233,Notebook,Notebooks,,,,,
46,https://images-na.ssl-images-amazon.com/images/I/41xWhnqXbfL._AC_US218_.jpg,"JUMPER EZbook X4 14"" FHD Screen Windows 10 Laptop Notebook Intel Gemini Lake N4100 Quad Core 4GB RAM 128GB SSD 9200mAh Large Battery Backlit Keyboard (Supports SSD Upgrade up to 128G)",,,,14.0 inches | Windows 10 | 4.0 GB | 128.0 GB | SSD,,,,,,,JUMPER EZbook,316.99,Notebook,Notebooks,,,,,
